Title,Description,ImageURL
Coworker Music,Song you like that is actually pretty bland and by a random artist with no particular target audience,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExcXR1eXpuN2QzdnB0a3Z6bTc0Y2JuNnlsMmQxZmg0Z2lvZG54bmFyZSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/hOzfvZynn9AK4/giphy.gif
I can only count to 4,Song with numbers in the title,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExcXh5NjV1bG5qM3BkbjlzY2R0Mjd6djVvbnppazQ3dGR4eHpiczZxMyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/l378khQxt68syiWJy/giphy.gif
Bang bang,"Song with shooting or guns in the title or lyrics, or themes involving arms",https://media.giphy.com/media/v1.Y2lkPWVjZjA1ZTQ3eTRqbGtram5namsweTR6NzhhazN3aXl4ZWFrY2F5ZnE2b25iMGJ3ZiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/akiPZoesKGlPtD2l1M/giphy.gif
It wasn't a dream,Song you rediscovered recently,https://media.giphy.com/media/v1.Y2lkPWVjZjA1ZTQ3eTY5YmF4eXpmc3cyY3o2NWVlN2kwOWN0cWZld29pNXV2ZzM0aGJtdyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3oEjHNdJf6ilveYXIc/giphy.gif
Arise,"Song about waking up, coming out of a slumber or a slump, or getting energized or ready",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExbGR1MmM5dTZjaXNweHg2NGwwdnhnajlvMGE0cWs5amgzajJqdnJpaiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/F0Y7kjfHRl3a0/giphy.gif
Wildcard bitches,Song about whatever you want,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExeTZiN2wyOHJoeTg3YnZoOWp4dDU3cGVyam90Z2g2Z3RzNHd0ZmwzdyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/4VigqLzlOEFcQcEjvZ/giphy.gif
In the family,Song by artist with famous relative - musician or otherwise,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExNm16N3B0OG0wcnVkajdpdmRqamRseXc3bDB3empicTl4djJvdWJzciZlcD12MV9naWZzX3NlYXJjaCZjdD1n/KO9RKTeVIx1EFXH2Y2/giphy.gif
I have no mouth,Song with screaming or yelling in it,https://media.giphy.com/media/v1.Y2lkPWVjZjA1ZTQ3bjJkejVjbDZ5b3gzc2hxYWY2NXlqcW0zZmZyOGo3MWFidTJkZDNpMCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/sGr9jSZdK7Dqj7MkSJ/giphy.gif
Somewhere over the rainbow,Song by artist with a long name,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExZTA5MmptN2Fjbm5uemUxa2ZoeHFrcDZsdzMwdXh0dGNncnBlMzAwYyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/xgvOvn8VOD0Ig/giphy.gif
The best medicine,A comedic song,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExbzlnOThmb3NqMjZmdnlpZnN1MXVsamQ4MG4yd3lmOHJmZWQ4aHlndSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/ZqlvCTNHpqrio/giphy.gif
There's no way,Song you don't think anyone else has heard,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExanM3ZmIzYzA4bjE3am1zb2lobGlrNG56aTdqZzQ5dHVwdmQxNGVpeiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/cMDzO5tBq46VFg94kg/giphy.gif
The Training Arc,A song that makes you feel motivated or unstoppable,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExczA2aWk1b2h2MTNoZ2I4ODdwZG5oMW1hbm4yZnhzaTFtNDRoZnN4biZlcD12MV9naWZzX3NlYXJjaCZjdD1n/382KHGeAfisOk/giphy.gif
Watching YouTube ,A song by a YouTube creator,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExdzVsZ21id2t5bnU4bzc1cXNxc2FvMjhxMnp0ZTNyc3RtN2drOHdqcSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/13Nc3xlO1kGg3S/giphy.gif
Licensed by Nintendo,"A song that sounds legally distinct from another song, but maybe there was a law suit",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExaDE3YTIyM3YwcXNoMW9lMnY5MjZibTBkMmhmcWRwbWVrZ2YxczEwayZlcD12MV9naWZzX3NlYXJjaCZjdD1n/qlMLAd1R0mirivSZCG/giphy.gif
SSS,"A song you love, that is just really cool",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExZHg5dzhqcmdnMTd1cm5rZ2V2cWMzbnVwZGdiMTQxdzAxZTRzN2UydSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/kbiZef842RiAMVLaSJ/giphy.gif
The Forbidden Aux,"A song you love but would never play publicly, a guilty pleasure",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExeGplcjFmMHMzMjV2MG1pY3RwdWY1cnlxMWJrbzFzcGZkcjQ5dHBtOSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3o7btUkkZOyQFKXU9a/giphy.gif
Oops! All Chorus,A song where every section feels hooky,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExYmNjNDRsZ2M1ZmlpMGx1NTg3Z2hzaDhhbnJiem9zMzVxazQ1dG8wMCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/B4ZgcoPTHYXL2/giphy.gif
The Bit,A joke/parody song that’s actually musically good,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExZ3B1OHNsb2ZxODJ2Mm43NGZocGJ5MDFpMmo1bWJjMDd4aTJhdHVhMiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/ReLPJMyuVh4FW/giphy.gif
Type Advantage,A perfect genre example,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExaDdiMnl6NTZyZnF2aGlvd3Jydm9jMjY3NGl3Z204OWFpYTM3OWd3cCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/yaBd6Gua9HhHCnJ7q8/giphy.gif
Group Project,A collaboration where every artist delivers,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExY2V0cGhpN3lidnNrbTJtOHRmb3M1NnU0OXBsMnQ5d3Rvbno4cmU5MyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/h7X3x5cD9Ar1wVKa12/giphy.gif
Sleep Mode,A song that helps you zone out completely,https://media.giphy.com/media/v1.Y2lkPWVjZjA1ZTQ3dW10M2UzZ3o4a2xsdGR4aTM2a3duMGd2NzBreWljOWRsYjI2dDN0ZyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/z9fOrELqdSnFm/giphy.gif
RGB Gamer Room,An electronic song with immaculate production,https://media.giphy.com/media/v1.Y2lkPWVjZjA1ZTQ3dW10M2UzZ3o4a2xsdGR4aTM2a3duMGd2NzBreWljOWRsYjI2dDN0ZyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/z9fOrELqdSnFm/giphy.gif
The Anime Beach Episode,A fun unserious summer song,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExYnM4OHgycnZydzA4amdhcWRqNHhtMGt2NnVxaDF0NThkeWx1cTlyaiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/IdZQj4BCnOiC3PbcUc/giphy.gif
First Edition Holographic,A rare/demo/unreleased version that’s better,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExYzV1MzVtaWp1YXF4YWNsemRobWZpcjU0dnp2NTF6bWxnNHBzMXEwbyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/Y4kZokSLJov84J421T/giphy.gif
You Had to Be There,A song tied to a very specific era/community/moment,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExeDhyemE0MmprMWc2Mmc1ZGxxaGl6dGhoMDRsbnk1Y3ZpMzgxbnBwcSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/YSsE7dSVNI1DLZwlXP/giphy.gif
Skill Issue,A song that is genuinely hard to sing/perform,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExZXlqbHJsdm91Y216eDd0YXVveTdhdnlyN3lyeWxieDQ0bXhkbzJnZSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/qjr1ZNLWEVvg9aFCyL/giphy.gif
The Family Computer,A song discovered through parents/siblings,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExYmFid2tuaDAzZmVpaTFpdHRsY3pqNXFkY2x5dGwyeG13cXp1c2J2eCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/xVPosMMzT60Xzv31my/giphy.gif
Final Destination,A great song that ends an album,https://media.giphy.com/media/v1.Y2lkPWVjZjA1ZTQ3cmZwenBncjcwbnI3d2phMTd5MTVxdWlsODJza2VsNGprYTE3Mm80aSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/X9G1LsYaUfkCXtg465/giphy.gif
Privacy Screen,A song from an album with sus album art,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExc3dkZnUzNTllNGx4dTlrMGJxbWloM3RndHlvdXFucnZmNGQ5cncwNiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3gNotAoIRZsb9UHPnj/giphy.gif
The Voice Crack,A song with a flawed vocal moment that improves the song,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExcWFjb2syN3E5cHZqdzRhZ3NuY3BqZnZsdHZvN2NjbXRraXI2MjU3aSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3orif8dO1K8o9jUHFm/giphy.gif
The Ancient Texts,A song everyone quotes,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExcWFjb2syN3E5cHZqdzRhZ3NuY3BqZnZsdHZvN2NjbXRraXI2MjU3aSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3orif8dO1K8o9jUHFm/giphy.gif
Director Commentary,A song with behind-the-scenes lore that enhances it,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExcjhjeWJ4Zzl0NGo4aHB4MGtvZG05bzN2eWNpdjFuZWt4bnM0azlydCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/ZDKdbazHIfycp83lwW/giphy.gif
Community Patch,[Fan] Remix or edit of a song,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExYmg3bTVnb2dpc3VtbnQ5aDF4ZnM3MDFrY2E4aW9qeTVyY25qN3NseSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/SZrDDVe62DKp8qwmSy/giphy.gif
TikTok,A Song with time in the title,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExMTg4c2EwenQ1dzVoOWZvaG91eHFzMm1rbmo4c2tzZ3l1bDh1ajI3NyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/Kvjugjvc1L9iE/giphy.gif
"Sayonara, sucker","A Song about saying goodbye, or with goodbye in the title",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExcGNucXRsNmNuam90eW1henNxMzI1NWdpb3QxcTZod2pma2lza2o0OCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/l4HnXFvoy74pbrOx2/giphy.gif
I guess this is growing up,A Song about getting older,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExNTMxeWhid200emJlcWZxZHlnaHM1aml1aXB1ams0ZGtiejd5bGRqMiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/ZsHPTB5CthqCnelc8x/giphy.gif
What business is it of yours,A song about unrequited love,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExbGlhZ3VhbmJpaWFuN2NwaW42dTZlYmc3aWI4NjZuNmFvbTJ3ejlxcCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/1DqTKHz6WVree52L3F/giphy.gif
Better Off Alone,A song by an artist who was in a less popular band/group then went solo,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExNzF5dnNkdHA1azU4b3Robnp3NXhtdW1vajloamN1emJmZDIxZmJzdCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/9cgipBtD72LfmP5ooV/giphy.gif
The unexamined life,A song about loneliness,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExbTFsNjFjYXcycHZ5amxicnVqa3Iyd3N1bnR5N2lqOHN3NG1ib2J1MSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/VfyC5j7sR4cso/giphy.gif
He who has a why,"A song about having purpose, or finding meaning, or working towards a goal",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExcTZlOWMwYWU5NG1hN3YzZzBjY2JmMnFyZ3pwZHc2MmkzbnAyeHZ0NCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/Fsn4WJcqwlbtS/giphy.gif
Do you know de wae,"A song with directions, up, down, left, right or cardinal in the title or lyrics",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExb3k1M203ZDhoeXV0dHk0ZjZsNGh3dGZkNHpwaW41azRpbjN4dnlnNSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/JvV2rmcvoSNkEiyBEB/giphy.gif
Karaoke Night,A song you would queue at karaoke,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExN2lsejhsano4OGc4MGhpdXQ0aGhrdnc5aHMyYnBiNjRuMWV0bnpydSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/idKFx1AUCg1Yk/giphy.gif
Where there is smoke,A song with fire in the title,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExcWVzZmRqcTlrazhjNHZraXFwbmtiYXF2dG9pbmRramVkNHE2YW1qNiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3KVcFEmdDl9NYaFTtx/giphy.gif
When the sun goes down,A song with night in the title,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExZ25rZXNwZDd1M3oyeXhiaHplZndyNzdxb3piNHIwZHVmZWVwY2YxZCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/YNk9HRcH9zJfi/giphy.gif
An amphibious exploring vehicle,A song with cars or other vehicles in the title,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExeDhnams3cnFjOG80MWQ0aDNqNnhteGZxdDJlZzBza2c0bDJqcjNrNyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3ov9jWu7BuHufyLs7m/giphy.gif
Towards Another Summer,A song about home or with home in the title,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExbTF2bGYyZGd2anJ6MWtya2I4cjM0cmJyMXNrMWd1bmIyem4ybnJuOCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/W5Twuq0Fvl8POWHXDf/giphy.gif
He was number one,A song with gold in the title,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExNGI2YW5jejYyb3p2cHo0M3BiMWVnN3dqeWl2M3ZieHd3dTY5dGwxMCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/lOiJqCjiEOcmc/giphy.gif
Losing my religion,"A song about religion, church or sin",https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExMngyOGRvNjNwbzQ0aDBqenVkY3l1a2RmbmUxZHcxbjk1Yzg2bnQ0eCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3o6ZtpyeiCrEEwdZ84/giphy.gif
Green Eyed Monster,A song about jealousy,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExYnMwMmE3cWMzdGN2ZTZ6MDNmaTFhY3RpYWgwZXQ5ajUwbTRwM280YyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/buwxdL6bzFcyc/giphy.gif
Don't Dream It's Over,A song about a breakup,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExaTJkeHcxZTFwOTh3YjA2aDh3a3FrNWNvNTVxc2gzdWMwODd1cHgzZiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/SIIXDrZ8Rh2a4/giphy.gif
Stars in their eyes,A song with star in the title,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExbW80b3Fwd2pqc2UwcHN5bXdzMGpqOTd1Znc0MWVpdjRxZjlsMHRxcSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/FlodpfQUBSp20/giphy.gif
Unskippable Cutscene,A long song that you listen through anyway,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExaW1ncXFnZHU5N3Z6YjR5ZGFmNmxndG0xZG1rc2o5cmVidXQ0MTVyZiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/34W5O9hnNl7v03IZz4/giphy.gif
Microtransaction,A short interlude that leaves you wanting more,https://media.giphy.com/media/v1.Y2lkPWVjZjA1ZTQ3Z2Z1MzkzcHBmaXZ2bHpuNjk1azBldzNuM3Znc2UzdHl2M29raDZwbCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/YWgVU5MevXts4vHDqV/giphy.gif
"One kick 10,000 times",A song you have listened to many times,https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExb3h6M3prM2VyN21icTNldWF3cGU1MmZkMWp6M3hmZTUzYWFobjlqYiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3o7WIQ4FARJdpmUni8/giphy.gif
